client_number;entity_number;is_first
74206;480;True
74206;838;False
74497;1070;True
74594;1072;True
74691;1071;True
74691;1073;False
74788;1074;True
74982;1076;True
74982;1077;False
74982;1078;False
75079;1079;True
75176;27;True
75273;1080;True
75370;1090;True
75467;1091;True
75564;1092;True
75661;1093;True
75758;1094;True
75855;1095;True
75952;1096;True
76049;1097;True
76146;1098;True
76146;1099;False
76243;1100;True
76437;1102;True
76534;1103;True
76631;1104;True
76728;1105;True
76728;1106;False
76825;1107;True
76922;1108;True
77019;1109;True
77116;1110;True
77213;1111;True
77310;1112;True
77407;1114;True
77698;1116;True
77989;1122;True
78086;1123;True
78183;1124;True
78377;1126;True
78474;1127;True
78474;1128;False
78474;1129;False
78571;1130;True
78668;1131;True
78668;1132;False
78765;1133;True
78959;1136;True
79056;1137;True
79153;1138;True
79444;301;True
79541;1144;True
79541;1145;False
79638;1146;True
79735;1147;True
79929;1149;True
80026;1150;True
80026;1151;False
54321;801;True
54321;1153;False
54321;1154;False
80220;1155;True
80220;1156;False
80317;1157;True
80317;1158;False
80414;1159;True
80705;1162;True
80996;1165;True
81190;1167;True
81384;1169;True
81481;1170;True
81578;1171;True
81578;1172;False
81675;1173;True
81772;1174;True
81869;1175;True
81869;1176;False
81966;1177;True
82160;1180;True
82354;3564;True
82548;1186;True
82742;1188;True
82839;1189;True
82839;1191;False
83130;1194;True
83421;1197;True
83518;1198;True
83712;1200;True
83809;1201;True
83906;1202;True
84003;1203;True
84197;1204;True
84197;1205;False
84294;1206;True
84682;1212;True
84876;1215;True
84973;1216;True
84973;1217;False
85167;1219;True
85167;1220;False
85264;1222;True
85458;91;True
85555;1224;True
85555;1225;False
85652;1226;True
85652;1227;False
85846;1230;True
86040;1235;True
86040;1236;False
86234;1239;True
86331;1238;True
86331;1240;False
86816;1246;True
86816;1247;False
37249;557;True
37249;1248;False
86913;1249;True
87107;1251;True
87204;1252;True
87398;1253;True
87495;1254;True
87592;1255;True
87689;1256;True
87980;1261;True
88271;1268;True
69550;997;True
69550;667;False
69550;999;False
69550;998;False
88465;1270;True
88562;1271;True
88659;1272;True
88659;1273;False
88756;6608;True
88756;1275;False
89241;1280;True
89338;554;True
89435;1281;True
89629;1283;True
89726;1284;True
89823;1285;True
